"동부","남자","6. 농림어업 숙련 종사자",42283,2557,3892,1769,8123,2382,3272,9877,6717,1676,2018
"동부","남자","7. 기능원 및 관련 기능 종사자",661225,24152,56784,20927,90487,26616,105184,268463,10278,23002,35332
"동부","남자","8. 장치, 기계조작 및 조립 종사자",785650,30753,61502,27502,121382,35023,106358,317941,14266,32011,38912
"동부","남자","9. 단순 노무 종사자",373280,20744,43126,19166,78176,18141,43212,98277,9017,18448,24973
"동부","남자","A. 기타",51504,2563,3293,3530,10535,1821,8849,11611,311,4326,4665
"동부","여자","계",5365564,864422,1182070,332774,716766,280996,248766,332168,51100,987007,369495
"동부","여자","1. 관리자",34404,13184,5090,2057,3524,1447,882,1553,272,5285,1110
"동부","여자","2. 전문가 및 관련 종사자",2022950,470580,404931,99553,126245,104458,74319,112388,13067,562964,54445
"동부","여자","3. 사무 종사자",1548898,150395,324762,125653,351414,92577,89639,111265,16762,183398,103033
"동부","여자","4. 서비스 종사자",704870,94819,171832,40794,87189,30941,27874,37787,8068,100375,105191
"동부","여자","5. 판매 종사자",596839,72314,168095,37849,87052,27607,30212,34198,6618,70826,62068
"동부","여자","6. 농림어업 숙련 종사자",12651,2024,2407,665,1609,760,639,695,894,1957,1001
"동부","여자","7. 기능원 및 관련 기능 종사자",111073,12368,29791,6122,14094,5766,5987,10530,1219,12885,12311
"동부","여자","8. 장치, 기계조작 및 조립 종사자",117721,16131,23840,5864,16473,6138,8079,10716,1373,17841,11266
"동부","여자","9. 단순 노무 종사자",211832,32273,50842,13851,28322,11073,10622,12630,2820,30856,18543
"동부","여자","A. 기타",4326,334,480,366,844,229,513,406,7,620,527
"읍부","계","계",1211055,133204,148714,54737,181671,57283,102856,270754,33171,151222,77443
"읍부","계","1. 관리자",13625,3074,942,570,2385,561,613,3207,318,1496,459
"읍부","계","2. 전문가 및 관련 종사자",323637,64252,43415,11784,24634,16441,19429,60994,4958,67985,9745
"읍부","계","3. 사무 종사자",294199,20377,32674,16840,64507,15794,24926,65119,9186,29451,15325
"읍부","계","4. 서비스 종사자",128271,14154,20546,6410,20444,5286,8284,15339,2341,17355,18112
"읍부","계","5. 판매 종사자",106687,8862,17996,5194,19354,4659,9481,17774,3314,10449,9604
"읍부","계","6. 농림어업 숙련 종사자",34422,2856,3107,1620,5792,1699,2469,6476,5878,2620,1905
"읍부","계","7. 기능원 및 관련 기능 종사자",87837,4599,8300,3044,10563,3311,11823,33698,1936,4767,5796
"읍부","계","8. 장치, 기계조작 및 조립 종사자",140160,7994,11785,4594,20135,6082,17089,52345,3092,7967,9077
"읍부","계","9. 단순 노무 종사자",63570,5794,8705,3264,10403,2886,5811,12386,2003,7042,5276
"읍부","계","A. 기타",18647,1242,1244,1417,3454,564,2931,3416,145,2090,2144
"읍부","남자","계",742929,47066,65406,29553,126487,35032,82708,241422,26141,48079,41035
"읍부","남자","1. 관리자",10257,1596,616,407,2172,457,562,3081,295,723,348
"읍부","남자","2. 전문가 및 관련 종사자",159035,18855,17198,5011,16288,8907,15208,52413,3563,17181,4411
"읍부","남자","3. 사무 종사자",170365,6988,12717,8036,39646,8631,17325,55153,6610,8643,6616
"읍부","남자","4. 서비스 종사자",56812,3061,6188,2597,12189,2703,5557,11755,1436,4077,7249
"읍부","남자","5. 판매 종사자",61849,2889,6924,2816,13425,2718,7260,15488,2551,3381,4397
"읍부","남자","6. 농림어업 숙련 종사자",27504,1750,1873,1232,4891,1315,2177,6104,5396,1378,1388
"읍부","남자","7. 기능원 및 관련 기능 종사자",76920,3106,5952,2514,9313,2833,11281,32628,1722,3011,4560
"읍부","남자","8. 장치, 기계조작 및 조립 종사자",121185,5302,8413,3667,17652,5135,15779,50324,2761,5173,6979
"읍부","남자","9. 단순 노무 종사자",41950,2387,4491,1950,7764,1826,4759,11189,1666,2709,3209
"읍부","남자","A. 기타",17052,1132,1034,1323,3147,507,2800,3287,141,1803,1878
"읍부","여자","계",468126,86138,83308,25184,55184,22251,20148,29332,7030,103143,36408
"읍부","여자","1. 관리자",3368,1478,326,163,213,104,51,126,23,773,111
"읍부","여자","2. 전문가 및 관련 종사자",164602,45397,26217,6773,8346,7534,4221,8581,1395,50804,5334
"읍부","여자","3. 사무 종사자",123834,13389,19957,8804,24861,7163,7601,9966,2576,20808,8709
"읍부","여자","4. 서비스 종사자",71459,11093,14358,3813,8255,2583,2727,3584,905,13278,10863
"읍부","여자","5. 판매 종사자",44838,5973,11072,2378,5929,1941,2221,2286,763,7068,5207
"읍부","여자","6. 농림어업 숙련 종사자",6918,1106,1234,388,901,384,292,372,482,1242,517
"읍부","여자","7. 기능원 및 관련 기능 종사자",10917,1493,2348,530,1250,478,542,1070,214,1756,1236
"읍부","여자","8. 장치, 기계조작 및 조립 종사자",18975,2692,3372,927,2483,947,1310,2021,331,2794,2098
"읍부","여자","9. 단순 노무 종사자",21620,3407,4214,1314,2639,1060,1052,1197,337,4333,2067
"읍부","여자","A. 기타",1595,110,210,94,307,57,131,129,4,287,266
"면부","계","계",818922,90898,101477,39911,124619,37803,66344,177600,37387,95459,47424
"면부","계","1. 관리자",10269,2274,805,528,1962,392,398,2147,326,1244,193
"면부","계","2. 전문가 및 관련 종사자",194568,39864,30213,7428,14748,9329,9920,34599,4236,38944,5287
"면부","계","3. 사무 종사자",160842,11753,17636,9532,35446,8730,13346,34660,6011,15676,8052
"면부","계","4. 서비스 종사자",92374,10469,14391,5111,15425,3860,5540,11514,2755,12242,11067
"면부","계","5. 판매 종사자",61666,5364,9473,3206,11521,2584,5390,10372,2421,6211,5124
"면부","계","6. 농림어업 숙련 종사자",88345,7757,9062,4597,15008,4328,6275,16367,14625,6565,3761
"면부","계","7. 기능원 및 관련 기능 종사자",56645,3050,5665,1949,6975,2073,7236,21671,1898,2784,3344
"면부","계","8. 장치, 기계조작 및 조립 종사자",87930,4817,6987,3205,11741,3760,11150,32966,3007,5225,5072
"면부","계","9. 단순 노무 종사자",43010,4040,5653,2351,7246,1926,3724,8587,1927,4285,3271
"면부","계","A. 기타",23273,1510,1592,2004,4547,821,3365,4717,181,2283,2253
"면부","남자","계",535561,37294,50372,23805,91721,25090,54513,160924,31479,33762,26601
"면부","남자","1. 관리자",7661,1306,526,366,1767,316,383,2068,298,488,143
"면부","남자","2. 전문가 및 관련 종사자",102441,13365,14784,3539,10390,5465,7670,30446,3168,10925,2689
"면부","남자","3. 사무 종사자",95356,4536,7053,4974,22133,4934,9512,29542,4351,4876,3445
"면부","남자","4. 서비스 종사자",44053,2768,4753,2321,9757,2002,3820,9219,1877,2887,4649
"면부","남자","5. 판매 종사자",36539,1997,3862,1717,8087,1597,3972,8976,1938,2040,2353
"면부","남자","6. 농림어업 숙련 종사자",70889,4523,5715,3379,13186,3507,5634,15604,13542,3200,2599
"면부","남자","7. 기능원 및 관련 기능 종사자",49990,2123,4041,1647,6178,1802,6886,21020,1752,1931,2610
